"","V1","V2","V3","V4"
"302","0.35","151","mse","57.3216191332967"
"303","0.35","152","edf","53.6263144656807"
"304","0.35","152","mse","62.0648339042231"
"305","0.35","153","edf","55.9647340721299"
"306","0.35","153","mse","67.4174726622906"
"307","0.35","154","edf","54.2013028078701"
"308","0.35","154","mse","62.129485988174"
"309","0.35","155","edf","55.4008756386664"
"310","0.35","155","mse","66.033536108897"
"311","0.35","156","edf","56.5661968884863"
"312","0.35","156","mse","72.7572512991009"
"313","0.35","157","edf","58.316429185034"
"314","0.35","157","mse","54.521945033722"
"315","0.35","158","edf","62.120142618801"
"316","0.35","158","mse","64.9679232436924"
"317","0.35","159","edf","73.2541540538484"
"318","0.35","159","mse","95.7004124831193"
"319","0.35","160","edf","49.487980467284"
"320","0.35","160","mse","62.2449917707251"
"321","0.35","161","edf","52.647845775538"
"322","0.35","161","mse","58.4618991749803"
"323","0.35","162","edf","61.3407793627812"
"324","0.35","162","mse","77.3791321406278"
"325","0.35","163","edf","58.3388572066983"
"326","0.35","163","mse","66.2120454101667"
"327","0.35","164","edf","53.0016433979285"
"328","0.35","164","mse","58.6041377698291"
"329","0.35","165","edf","46.7694115081675"
"330","0.35","165","mse","79.7746802186938"
"331","0.35","166","edf","46.1882366999534"
"332","0.35","166","mse","58.3108350224242"
"333","0.35","167","edf","48.2378468087095"
"334","0.35","167","mse","58.4942102170754"
"335","0.35","168","edf","55.6521194785724"
"336","0.35","168","mse","71.7944174841558"
"337","0.35","169","edf","50.7235351528828"
"338","0.35","169","mse","57.9939263750981"
"339","0.35","170","edf","49.4991178352321"
"340","0.35","170","mse","81.5638241067892"
"341","0.35","171","edf","53.6993374383933"
"342","0.35","171","mse","56.4029788259515"
"343","0.35","172","edf","58.6661776226456"
"344","0.35","172","mse","56.0535993655183"
"345","0.35","173","edf","66.9573225812991"
"346","0.35","173","mse","65.3940599069382"
"347","0.35","174","edf","66.6221346637695"
"348","0.35","174","mse","69.9720894586877"
"349","0.35","175","edf","49.1750231837459"
"350","0.35","175","mse","70.0541460643455"
"351","0.35","176","edf","48.5221274249813"
"352","0.35","176","mse","58.2903566293643"
"353","0.35","177","edf","50.265427100836"
"354","0.35","177","mse","84.4972638916888"
"355","0.35","178","edf","52.4315632881438"
"356","0.35","178","mse","50.1375100249255"
"357","0.35","179","edf","48.5886611780726"
"358","0.35","179","mse","54.2238363714195"
"359","0.35","180","edf","61.8238710553812"
"360","0.35","180","mse","54.3828372182166"
"361","0.35","181","edf","48.6866567370459"
"362","0.35","181","mse","65.4546658411414"
"363","0.35","182","edf","47.0299215663034"
"364","0.35","182","mse","84.8216194833542"
"365","0.35","183","edf","60.9047541768184"
"366","0.35","183","mse","53.3523568783377"
"367","0.35","184","edf","52.8033917942936"
"368","0.35","184","mse","52.158147057326"
"369","0.35","185","edf","64.8846268993383"
"370","0.35","185","mse","93.868360159858"
"371","0.35","186","edf","52.5694799794748"
"372","0.35","186","mse","50.108193523889"
"373","0.35","187","edf","47.868274966622"
"374","0.35","187","mse","59.1392250651477"
"375","0.35","188","edf","48.027450840336"
"376","0.35","188","mse","59.4586701464024"
"377","0.35","189","edf","68.7143952185814"
"378","0.35","189","mse","64.8702505422848"
"379","0.35","190","edf","50.8593589105843"
"380","0.35","190","mse","73.1169642307163"
"381","0.35","191","edf","63.4523251464656"
"382","0.35","191","mse","70.3752614025918"
"383","0.35","192","edf","66.8878712165324"
"384","0.35","192","mse","72.429521191972"
"385","0.35","193","edf","57.1830512052044"
"386","0.35","193","mse","55.9094065052324"
"387","0.35","194","edf","56.4857883970096"
"388","0.35","194","mse","58.9620927059295"
"389","0.35","195","edf","55.4374293118192"
"390","0.35","195","mse","61.0026685518606"
"391","0.35","196","edf","53.8182685984992"
"392","0.35","196","mse","64.6777020008733"
"393","0.35","197","edf","56.3545597592466"
"394","0.35","197","mse","61.0421971403877"
"395","0.35","198","edf","51.1793687065313"
"396","0.35","198","mse","66.8591276246489"
"397","0.35","199","edf","54.4720116189039"
"398","0.35","199","mse","72.0050602319209"
"399","0.35","200","edf","47.1171956937761"
"400","0.35","200","mse","68.583605674344"
"401","0.9","1","edf","36.3067241499886"
"402","0.9","1","mse","186.982672484898"
"403","0.9","2","edf","26.5467348870868"
"404","0.9","2","mse","221.041997477511"
"405","0.9","3","edf","21.4174711672403"
"406","0.9","3","mse","165.087518352279"
"407","0.9","4","edf","28.9243544264753"
"408","0.9","4","mse","186.335389822333"
"409","0.9","5","edf","27.9636326739076"
"410","0.9","5","mse","187.512956933399"
"411","0.9","6","edf","23.7543149488492"
"412","0.9","6","mse","185.123500130045"
"413","0.9","7","edf","31.2684379589594"
"414","0.9","7","mse","157.032032957077"
"415","0.9","8","edf","28.0596145348189"
"416","0.9","8","mse","244.318604188046"
"417","0.9","9","edf","25.2958563216911"
"418","0.9","9","mse","154.885710716538"
"419","0.9","10","edf","23.9233048329852"
"420","0.9","10","mse","146.031458885211"
"421","0.9","11","edf","32.0845149206786"
"422","0.9","11","mse","146.658638487709"
"423","0.9","12","edf","47.9677249341939"
"424","0.9","12","mse","155.577683783446"
"425","0.9","13","edf","25.5959457419526"
"426","0.9","13","mse","172.289953255968"
"427","0.9","14","edf","23.8373841781511"
"428","0.9","14","mse","131.790562201144"
"429","0.9","15","edf","25.0754526228988"
"430","0.9","15","mse","144.498954017223"
"431","0.9","16","edf","26.1439229847945"
"432","0.9","16","mse","188.951789955901"
"433","0.9","17","edf","57.4424081979144"
"434","0.9","17","mse","296.798773351758"
"435","0.9","18","edf","29.7799760072862"
"436","0.9","18","mse","117.65619296023"
"437","0.9","19","edf","32.415207834951"
"438","0.9","19","mse","175.70746812726"
"439","0.9","20","edf","28.4246638535978"
"440","0.9","20","mse","179.789108112019"
"441","0.9","21","edf","24.3111878043275"
"442","0.9","21","mse","160.485715179594"
"443","0.9","22","edf","31.0544537955959"
"444","0.9","22","mse","171.708972367852"
"445","0.9","23","edf","28.2071098947395"
"446","0.9","23","mse","203.799906932392"
"447","0.9","24","edf","40.3199203675995"
"448","0.9","24","mse","161.026081017187"
"449","0.9","25","edf","27.5410069006056"
"450","0.9","25","mse","155.795442467344"
"451","0.9","26","edf","30.5736803418476"
"452","0.9","26","mse","102.100817128013"
"453","0.9","27","edf","26.1363005054468"
"454","0.9","27","mse","144.82084282268"
"455","0.9","28","edf","21.2488760201175"
"456","0.9","28","mse","155.056267113208"
"457","0.9","29","edf","41.4829743881631"
"458","0.9","29","mse","181.041570579961"
"459","0.9","30","edf","22.3857265353456"
"460","0.9","30","mse","126.460424111415"
"461","0.9","31","edf","25.1793257329927"
"462","0.9","31","mse","158.952409330877"
"463","0.9","32","edf","34.3090633054348"
"464","0.9","32","mse","265.006592212783"
"465","0.9","33","edf","52.5614682240029"
"466","0.9","33","mse","209.26755785633"
"467","0.9","34","edf","23.4443620947754"
"468","0.9","34","mse","172.324479647641"
"469","0.9","35","edf","20.3244472398212"
"470","0.9","35","mse","180.759423356858"
"471","0.9","36","edf","24.1296390050609"
"472","0.9","36","mse","170.999948578672"
"473","0.9","37","edf","25.2802335253721"
"474","0.9","37","mse","162.039068733824"
"475","0.9","38","edf","28.7447027088398"
"476","0.9","38","mse","157.524983425602"
"477","0.9","39","edf","34.0414580479466"
"478","0.9","39","mse","105.747950768752"
"479","0.9","40","edf","23.7936477273891"
"480","0.9","40","mse","140.404061102966"
"481","0.9","41","edf","25.5033523159093"
"482","0.9","41","mse","187.752732989024"
"483","0.9","42","edf","21.2647871425036"
"484","0.9","42","mse","201.360088116378"
"485","0.9","43","edf","28.5492708627839"
"486","0.9","43","mse","201.5534744255"
"487","0.9","44","edf","29.2430787962073"
"488","0.9","44","mse","140.282972239937"
"489","0.9","45","edf","21.8497456994818"
"490","0.9","45","mse","166.89876560667"
"491","0.9","46","edf","20.7621447360562"
"492","0.9","46","mse","178.414463370929"
"493","0.9","47","edf","35.6916674942225"
"494","0.9","47","mse","136.440920820443"
"495","0.9","48","edf","35.5802180359199"
"496","0.9","48","mse","151.708661552902"
"497","0.9","49","edf","24.3101935265702"
"498","0.9","49","mse","121.707219316796"
"499","0.9","50","edf","25.165013379727"
"500","0.9","50","mse","207.490129029211"
"501","0.9","51","edf","25.2961056151597"
"502","0.9","51","mse","179.301066145721"
"503","0.9","52","edf","26.414326992679"
"504","0.9","52","mse","167.551776656872"
"505","0.9","53","edf","24.7289409009402"
"506","0.9","53","mse","166.597141607149"
"507","0.9","54","edf","26.0027797146603"
"508","0.9","54","mse","142.528326862653"
"509","0.9","55","edf","25.6148923538441"
"510","0.9","55","mse","105.274506962439"
"511","0.9","56","edf","54.2993164133342"
"512","0.9","56","mse","225.025177905475"
"513","0.9","57","edf","42.3355509676696"
"514","0.9","57","mse","174.416566173621"
"515","0.9","58","edf","26.3078520257312"
"516","0.9","58","mse","92.6114401141388"
"517","0.9","59","edf","25.2817800427842"
"518","0.9","59","mse","117.477989279097"
"519","0.9","60","edf","23.8571959335092"
"520","0.9","60","mse","167.434795474689"
"521","0.9","61","edf","28.4965898166727"
"522","0.9","61","mse","174.263389726368"
"523","0.9","62","edf","30.0144080106835"
"524","0.9","62","mse","218.855303674794"
"525","0.9","63","edf","25.8000109587617"
"526","0.9","63","mse","126.442496342368"
"527","0.9","64","edf","23.4954546335824"
"528","0.9","64","mse","166.356163792463"
"529","0.9","65","edf","25.6569083501659"
"530","0.9","65","mse","147.444837337433"
"531","0.9","66","edf","35.2404955650985"
"532","0.9","66","mse","126.82975842156"
"533","0.9","67","edf","33.2065513757785"
"534","0.9","67","mse","148.292003015266"
"535","0.9","68","edf","21.7084917323001"
"536","0.9","68","mse","169.748522393607"
"537","0.9","69","edf","33.5557242785842"
"538","0.9","69","mse","228.175293226621"
"539","0.9","70","edf","27.9647582976312"
"540","0.9","70","mse","138.155437708766"
"541","0.9","71","edf","34.0588532634611"
"542","0.9","71","mse","173.939609290684"
"543","0.9","72","edf","57.5636766982976"
"544","0.9","72","mse","264.743906086103"
"545","0.9","73","edf","29.203775642249"
"546","0.9","73","mse","132.249810061183"
"547","0.9","74","edf","34.400570672287"
"548","0.9","74","mse","159.433343947484"
"549","0.9","75","edf","28.7474204864541"
"550","0.9","75","mse","136.948961009191"
"551","0.9","76","edf","25.1777373724672"
"552","0.9","76","mse","207.640337450967"
"553","0.9","77","edf","30.8007515561718"
"554","0.9","77","mse","185.334568760799"
"555","0.9","78","edf","28.1810580144269"
"556","0.9","78","mse","188.083703072203"
"557","0.9","79","edf","45.5996095382782"
"558","0.9","79","mse","215.443173720251"
"559","0.9","80","edf","21.4192256712797"
"560","0.9","80","mse","160.296999435712"
"561","0.9","81","edf","22.2998713084063"
"562","0.9","81","mse","155.573074628991"
"563","0.9","82","edf","46.279390225061"
"564","0.9","82","mse","174.734309533425"
"565","0.9","83","edf","59.8223476140604"
"566","0.9","83","mse","301.035455150617"
"567","0.9","84","edf","25.028328825758"
"568","0.9","84","mse","139.658482059789"
"569","0.9","85","edf","27.4582755862385"
"570","0.9","85","mse","147.580533102975"
"571","0.9","86","edf","24.5103706462368"
"572","0.9","86","mse","161.839958675599"
"573","0.9","87","edf","26.9795885284865"
"574","0.9","87","mse","180.893669192524"
"575","0.9","88","edf","26.7954305753521"
"576","0.9","88","mse","215.31341946582"
"577","0.9","89","edf","22.2456659651739"
"578","0.9","89","mse","139.438224340914"
"579","0.9","90","edf","27.2989470422202"
"580","0.9","90","mse","150.135552629495"
"581","0.9","91","edf","19.8960815612853"
"582","0.9","91","mse","166.223974553411"
"583","0.9","92","edf","33.7690548709587"
"584","0.9","92","mse","146.074614136008"
"585","0.9","93","edf","18.4999312192652"
"586","0.9","93","mse","198.157521260431"
"587","0.9","94","edf","35.0283053560049"
"588","0.9","94","mse","113.259981684854"
"589","0.9","95","edf","22.9967472919424"
"590","0.9","95","mse","163.285962865012"
"591","0.9","96","edf","30.7561327078317"
"592","0.9","96","mse","109.707984484664"
"593","0.9","97","edf","33.5588331881619"
"594","0.9","97","mse","140.385729720576"
"595","0.9","98","edf","31.9460903083624"
"596","0.9","98","mse","159.932839093909"
"597","0.9","99","edf","24.722895374289"
"598","0.9","99","mse","134.945743947365"
"599","0.9","100","edf","21.2441160379285"
"600","0.9","100","mse","156.005943625886"
"601","0.9","101","edf","35.9865138401439"
"602","0.9","101","mse","191.595252797761"
"603","0.9","102","edf","26.5344430836284"
"604","0.9","102","mse","152.599763964486"
"605","0.9","103","edf","44.7724469671154"
"606","0.9","103","mse","316.841771338404"
"607","0.9","104","edf","42.8482530463529"
"608","0.9","104","mse","320.132940612008"
"609","0.9","105","edf","28.7981124665772"
"610","0.9","105","mse","152.198433511662"
"611","0.9","106","edf","25.4235072145609"
"612","0.9","106","mse","106.147376231818"
"613","0.9","107","edf","21.5615492474932"
"614","0.9","107","mse","142.012840805959"
"615","0.9","108","edf","27.7059574421361"
"616","0.9","108","mse","150.733704042152"
"617","0.9","109","edf","27.117545626529"
"618","0.9","109","mse","139.714908630921"
"619","0.9","110","edf","34.0256247237919"
"620","0.9","110","mse","102.44314662208"
"621","0.9","111","edf","38.1048338305859"
"622","0.9","111","mse","127.099485117658"
"623","0.9","112","edf","26.1404996291314"
"624","0.9","112","mse","140.458719640509"
"625","0.9","113","edf","32.1295195399452"
"626","0.9","113","mse","164.572266947589"
"627","0.9","114","edf","42.9127925806699"
"628","0.9","114","mse","192.014107587659"
"629","0.9","115","edf","24.0501279764939"
"630","0.9","115","mse","175.985108641511"
"631","0.9","116","edf","26.6284355520657"
"632","0.9","116","mse","181.667788860642"
"633","0.9","117","edf","21.6779572187575"
"634","0.9","117","mse","138.078343679794"
"635","0.9","118","edf","25.7077873658636"
"636","0.9","118","mse","163.099665266484"
"637","0.9","119","edf","38.9989051015956"
"638","0.9","119","mse","185.796745577924"
"639","0.9","120","edf","39.517069741371"
"640","0.9","120","mse","133.907879019724"
"641","0.9","121","edf","36.1434833156681"
"642","0.9","121","mse","185.914119213137"
"643","0.9","122","edf","27.7736495004727"
"644","0.9","122","mse","132.059588784423"
"645","0.9","123","edf","23.3538577774741"
"646","0.9","123","mse","179.181599463746"
"647","0.9","124","edf","23.2230856191227"
"648","0.9","124","mse","251.863905747587"
"649","0.9","125","edf","33.3205530391987"
"650","0.9","125","mse","233.791701255906"
"651","0.9","126","edf","47.6665961790432"
"652","0.9","126","mse","223.351962513255"
"653","0.9","127","edf","21.7362467043702"
"654","0.9","127","mse","199.345428852595"
"655","0.9","128","edf","39.0855154926242"
"656","0.9","128","mse","167.698517935641"
"657","0.9","129","edf","23.8138070557375"
"658","0.9","129","mse","188.036158860447"
"659","0.9","130","edf","22.089473326635"
"660","0.9","130","mse","179.577147379733"
"661","0.9","131","edf","33.3943634868675"
"662","0.9","131","mse","163.37464188437"
"663","0.9","132","edf","36.804858316214"
"664","0.9","132","mse","128.220867315389"
"665","0.9","133","edf","28.7087997266608"
"666","0.9","133","mse","163.215243424435"
"667","0.9","134","edf","38.2402360231806"
"668","0.9","134","mse","159.914839894018"
"669","0.9","135","edf","25.5978041172098"
"670","0.9","135","mse","203.051873282096"
"671","0.9","136","edf","24.4405071279588"
"672","0.9","136","mse","165.020898717816"
"673","0.9","137","edf","57.3833236406413"
